"","Family","Genus","Taxa","Portik","guild","ecology","terrestrial","lung","Spec_lotic","six_state","eight_state","state","tree_names"
"163","Centrolenidae","Centrolene","Centrolene_quindianum","Centrolene_altitudinalis","lotic, fossorial",0,"0",1,1,4,4,2,"Centrolene_altitudinalis"
"165","Centrolenidae","Cochranella","Cochranella_granulosa","","lotic, fossorial",0,"0",1,1,4,4,2,"Cochranella_granulosa"
"166","Centrolenidae","Espadarana","Espadarana_prosoblepon","","lotic, fossorial",0,"0",1,1,4,4,2,"Espadarana_prosoblepon"
"167","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium_chirripoi","","lotic, fossorial",0,"0",1,1,4,4,2,"Hyalinobatrachium_chirripoi"
"168","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium_fleischmanni","","lotic, fossorial",0,"0",0,1,2,2,1,"Hyalinobatrachium_fleischmanni"
"169","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium_tricolor","","lotic, fossorial",0,"0",1,1,4,4,2,"Hyalinobatrachium_tricolor"
"170","Centrolenidae","Ikakogi","Ikakogi_ispacue","","lotic, fossorial",0,"0",0,1,2,2,1,"Ikakogi_ispacue"
"171","Centrolenidae","Ikakogi","Ikakogi_tayrona","","lotic, fossorial",0,"0",0,1,2,2,1,"Ikakogi_tayrona"
"172","Centrolenidae","Nymphargus","Nymphargus_griffithsi","","lotic, fossorial",0,"0",1,1,4,4,2,"Nymphargus_griffithsi"
"176","Centrolenidae","Vitreorana","Vitreorana_uranoscopa","","lotic, fossorial",0,"0",1,1,4,4,2,"Vitreorana_uranoscopa"
"181","Ceratophryidae","Ceratophrys","Ceratophrys_aurita","","lentic, benthic",1,"0",1,0,6,6,4,"Ceratophrys_aurita"
"182","Ceratophryidae","Ceratophrys","Ceratophrys_calcarata","","lentic",1,"0",1,0,6,6,4,"Ceratophrys_calcarata"
"183","Ceratophryidae","Ceratophrys","Ceratophrys_ornata","","lentic, benthic",1,"0",1,0,6,6,4,"Ceratophrys_ornata"
"185","Ceratophryidae","Chacophrys","Chacophrys_pierottii","","lentic, benthic",1,"0",1,0,6,6,4,"Chacophrys_pierottii"
"186","Ceratophryidae","Lepidobatrachus","Lepidobatrachus_laevis","","lentic, carnivore",1,"0",1,0,6,6,4,"Lepidobatrachus_laevis"
"188","Conrauidae","Conraua","Conraua_robusta","","lotic, suctorial",0,"0",1,1,4,4,2,"Conraua_robusta"
"201","Dendrobatidae","Adelphobates","Adelphobates_galactonotus","","lentic, arboreal",1,"0",1,0,6,6,4,"Adelphobates_galactonotus"
"202","Dendrobatidae","Adelphobates","Adelphobates_quinquevittatus","","lentic",1,"0",1,0,6,6,4,"Adelphobates_quinquevittatus"
"203","Dendrobatidae","Ameerega","Ameerega_trivittata","","lentic",1,"0",1,0,6,6,4,"Ameerega_trivittata"
"204","Dendrobatidae","Andinobates","Andinobates_bombetes","","lentic, arboreal",1,"0",1,0,6,6,4,"Andinobates_bombetes"
"205","Dendrobatidae","Colostethus","Colostethus_dunni","?","",NA,"",1,0,NA,NA,NA,NA
"206","Dendrobatidae","Colostethus","Colostethus_imbricolus","","lentic",1,"0",1,0,6,6,4,"Colostethus_imbricolus"
"207","Dendrobatidae","Dendrobates","Dendrobates_tinctorius","","lentic, arboreal",1,"0",1,0,6,6,4,"Dendrobates_tinctorius"
"208","Dendrobatidae","Dendrobates","Dendrobates_truncatus","","lentic, arboreal",1,"0",1,0,6,6,4,"Dendrobates_truncatus"
"210","Dendrobatidae","Epipedobates","Epipedobates_boulengeri","","lentic",1,"0",1,0,6,6,4,"Epipedobates_boulengeri"
"211","Dendrobatidae","Epipedobates","Epipedobates_tricolor","","lentic",1,"0",1,0,6,6,4,"Epipedobates_tricolor"
"212","Dendrobatidae","Excidobates","Excidobates_condor","","lentic, arboreal",1,"0",1,0,6,6,4,"Excidobates_condor"
"213","Dendrobatidae","Hyloxalus","Hyloxalus_subpunctatus","","lentic",1,"0",1,0,6,6,4,"Hyloxalus_subpunctatus"
"214","Dendrobatidae","Leucostethus","Leucostethus_fraterdanieli","Colostethus_fraterdanieli","lentic",1,"0",1,0,6,6,4,"Colostethus_fraterdanieli"
"215","Dendrobatidae","Minyobates","Minyobates_steyermarki","","lentic, benthic",1,"0",1,0,6,6,4,"Minyobates_steyermarki"
"216","Dendrobatidae","Oophaga","Oophaga_pumilio","","lentic, arboreal",1,"0",1,0,6,6,4,"Oophaga_pumilio"
"217","Dendrobatidae","Paruwrobates","Hyloxalus_whymperi","Ameerega_erythromos","lentic",1,"0",1,0,6,6,4,"Ameerega_erythromos"
"218","Dendrobatidae","Phyllobates","Phyllobates_aurotaenia","","lentic",1,"0",1,0,6,6,4,"Phyllobates_aurotaenia"
"219","Dendrobatidae","Phyllobates","Phyllobates_bicolor","","lentic",1,"0",1,0,6,6,4,"Phyllobates_bicolor"
"220","Dendrobatidae","Ranitomeya","Ranitomeya_defleri","","lentic, arboreal",1,"0",1,0,6,6,4,"Ranitomeya_defleri"
"221","Dendrobatidae","Silverstoneia","Silverstoneia_flotator","","lotic, neustonic",0,"0",1,0,3,3,2,"Silverstoneia_flotator"
"224","Dicroglossidae","Euphlyctis","Euphlyctis_cyanophlyctis","","lentic",1,"0",1,0,6,6,4,"Euphlyctis_cyanophlyctis"
"225","Dicroglossidae","Fejervarya","Fejervarya_cancrivora","","lentic",1,"0",1,0,6,6,4,"Fejervarya_cancrivora"
"226","Dicroglossidae","Fejervarya","Fejervarya_limnocharis","","lentic",1,"0",1,0,6,6,4,"Fejervarya_limnocharis"
"227","Dicroglossidae","Hoplobatrachus","Hoplobatrachus_occipitalis","","lentic",1,"0",1,0,6,6,4,"Hoplobatrachus_occipitalis"
"228","Dicroglossidae","Hoplobatrachus","Hoplobatrachus_tigerinus","","lentic",1,"0",1,0,6,6,4,"Hoplobatrachus_tigerinus"
"230","Dicroglossidae","Limnonectes","Limnonectes_kuhlii","","lentic, benthic",1,"0",1,0,6,6,4,"Limnonectes_kuhlii"
"231","Dicroglossidae","Limnonectes","Limnonectes_leporinus","","lentic, side-pools",1,"0",1,0,6,6,4,"Limnonectes_leporinus"
"232","Dicroglossidae","Limnonectes","Limnonectes_macrocephalus","","lentic",1,"0",1,0,6,6,4,"Limnonectes_macrocephalus"
"233","Dicroglossidae","Limnonectes","Limnonectes_magnus","","lotic, sidepools",0,"0",1,0,3,3,2,"Limnonectes_magnus"
"234","Dicroglossidae","Limnonectes","Limnonectes_palavanensis","","lentic, arboreal",1,"0",1,0,6,6,4,"Limnonectes_palavanensis"
"236","Dicroglossidae","Minervarya","Minervarya_syhadrensis","","lentic",1,"0",1,0,6,6,4,"Minervarya_syhadrensis"
"239","Dicroglossidae","Occidozyga","Occidozyga_laevis","Occidozyga_lima","lentic",1,"0",1,0,6,6,4,"Occidozyga_lima"
"242","Dicroglossidae","Quasipaa","Quasipaa_exilispinosa","","lotic",0,"0",1,0,3,3,2,"Quasipaa_exilispinosa"
"243","Dicroglossidae","Sphaerotheca","Sphaerotheca_breviceps","","lentic",1,"0",1,0,6,6,4,"Sphaerotheca_breviceps"
"248","Heleophrynidae","Hadromophryne","Hadromophryne_natalensis","","lotic, suctorial",0,"0",1,1,4,4,2,"Hadromophryne_natalensis"
"249","Heleophrynidae","Heleophryne","Heleophryne_hewitti","?","lotic, suctorial",0,"0",0,1,2,2,1,NA
"250","Heleophrynidae","Heleophryne","Heleophryne_purcelli","","lotic, suctorial",0,"0",0,1,2,2,1,"Heleophryne_purcelli"
"251","Heleophrynidae","Heleophryne","Heleophryne_regis","","lotic, suctorial",0,"0",0,1,2,2,1,"Heleophryne_regis"
"252","Heleophrynidae","Heleophryne","Heleophryne_rosei","?","lotic, suctorial",0,"0",0,1,2,2,1,NA
"255","Hemiphractidae","Flectonotus","Flectonotus_sp.","Flectonotus_pygmaeus","lentic, arboreal",1,"0",1,0,6,6,4,"Flectonotus_pygmaeus"
"256","Hemiphractidae","Fritziana","Fritziana_sp.","Fritziana_fissilis","lentic, arboreal",1,"0",1,0,6,6,4,"Fritziana_fissilis"
"258","Hemiphractidae","Gastrotheca","Gastrotheca_monticola","","lentic, arboreal",1,"0",1,0,6,6,4,"Gastrotheca_monticola"
"259","Hemiphractidae","Gastrotheca","Gastrotheca_riobambae","","lentic",1,"0",1,0,6,6,4,"Gastrotheca_riobambae"
"263","Hemisotidae","Hemisus","Hemisus_guttatus","","lentic, nektonic",1,"0",1,0,6,6,4,"Hemisus_guttatus"
"264","Hemisotidae","Hemisus","Hemisus_marmoratus","","lentic, nektonic",1,"0",1,0,6,6,4,"Hemisus_marmoratus"
"265","Hylidae","Acris","Acris_crepitans","","lentic, benthic",1,"0",1,0,6,6,4,"Acris_crepitans"
"266","Hylidae","Agalychnis","Agalychnis_callidryas","","lentic, nektonic",1,"0",1,0,6,6,4,"Agalychnis_callidryas"
"267","Hylidae","Agalychnis","Agalychnis_moreletii","","lentic, nektonic",1,"0",1,0,6,6,4,"Agalychnis_moreletii"
"268","Hylidae","Aparasphenodon","Aparasphenodon_brunoi","","lentic",1,"0",1,0,6,6,4,"Aparasphenodon_brunoi"
"269","Hylidae","Aplastodiscus","Aplastodiscus_perviridis","","lentic, benthic",1,"0",1,0,6,6,4,"Aplastodiscus_perviridis"
"271","Hylidae","Atlantihyla","Atlantihyla_spinipollex","","lotic",0,"0",1,0,3,3,2,"Atlantihyla_spinipollex"
"272","Hylidae","Boana","Boana_boans","","lotic",0,"0",1,0,3,3,2,"Boana_boans"
"273","Hylidae","Boana","Boana_cordobae","","lotic",0,"0",1,0,3,3,2,"Boana_cordobae"
"274","Hylidae","Boana","Boana_geographica","","lentic, benthic",1,"0",1,0,6,6,4,"Boana_geographica"
"275","Hylidae","Boana","Boana_heilprini","","lotic",0,"0",1,0,3,3,2,"Boana_heilprini"
"276","Hylidae","Bokermannohyla","Bokermannohyla_claresignata","","lotic",0,"0",1,0,3,3,2,"Bokermannohyla_claresignata"
"277","Hylidae","Bromeliohyla","Bromeliohyla_bromeliacia","","lentic, arboreal",1,"0",1,0,6,6,4,"Bromeliohyla_bromeliacia"
"278","Hylidae","Bromeliohyla","Bromeliohyla_dendroscarta","Bromeliohyla_melacaena","lentic, arboreal",1,"0",1,0,6,6,4,"Bromeliohyla_melacaena"
"279","Hylidae","Charadrahyla","Charadrahyla_altipotens","Charadrahyla_taeniopus","lotic",0,"0",1,0,3,3,2,"Charadrahyla_taeniopus"
"282","Hylidae","Cruziohyla","Cruziohyla_sylviae","","lentic, nektonic",1,"0",1,0,6,6,4,"Cruziohyla_sylviae"
"283","Hylidae","Cyclorana","Cyclorana_australis","","lentic",1,"0",1,0,6,6,4,"Cyclorana_australis"
"284","Hylidae","Cyclorana","Cyclorana_longipes","","lentic, benthic",1,"0",1,0,6,6,4,"Cyclorana_longipes"
"285","Hylidae","Dendropsophus","Dendropsophus_ebraccatus","","lentic",1,"0",1,0,6,6,4,"Dendropsophus_ebraccatus"
"286","Hylidae","Dendropsophus","Dendropsophus_labialis","","lentic, arboreal",1,"0",1,0,6,6,4,"Dendropsophus_labialis"
"287","Hylidae","Dendropsophus","Dendropsophus_marmoratus","","lentic",1,"0",1,0,6,6,4,"Dendropsophus_marmoratus"
"290","Hylidae","Duellmanohyla","Duellmanohyla_ignicolor","?","lotic",0,"0",1,0,3,3,2,NA
"291","Hylidae","Duellmanohyla","Duellmanohyla_rufioculis","","lotic",0,"0",1,0,3,3,2,"Duellmanohyla_rufioculis"
"292","Hylidae","Duellmanohyla","Duellmanohyla_salvavida","","lotic",0,"0",1,0,3,3,2,"Duellmanohyla_salvavida"
"293","Hylidae","Duellmanohyla","Duellmanohyla_schmidtorum","?","lotic",0,"0",1,0,3,3,2,NA
"294","Hylidae","Duellmanohyla","Duellmanohyla_soralia","","lotic, neustonic",0,"0",1,0,3,3,2,"Duellmanohyla_soralia"
"295","Hylidae","Duellmanohyla","Duellmanohyla_uranochroa","","lotic",0,"0",1,0,3,3,2,"Duellmanohyla_uranochroa"
"296","Hylidae","Ecnomiohyla","Ecnomiohyla_miotympanum","","lotic",0,"0",1,0,3,3,2,"Ecnomiohyla_miotympanum"
"297","Hylidae","Ecnomiohyla","Ecnomiohyla_salvaje","Ecnomiohyla_minera","lentic, arboreal",1,"0",1,0,6,6,4,"Ecnomiohyla_minera"
"298","Hylidae","Exerodonta","Exerodonta_melanomma","","lotic",0,"0",1,0,3,3,2,"Exerodonta_melanomma"
"299","Hylidae","Hyla","Hyla_annectans","","lentic",1,"0",1,0,6,6,4,"Hyla_annectans"
"300","Hylidae","Hyla","Hyla_chrysoscelis","","lentic",1,"0",1,0,6,6,4,"Hyla_chrysoscelis"
"301","Hylidae","Hyla","Hyla_cinerea","","lentic",1,"0",1,0,6,6,4,"Hyla_cinerea"
"302","Hylidae","Hyla","Hyla_immaculata","","lentic",1,"0",1,0,6,6,4,"Hyla_immaculata"
"305","Hylidae","Hyla","Hyla_squirella","","lentic",1,"0",1,0,6,6,4,"Hyla_squirella"
"306","Hylidae","Hyla","Hyla_suweonensis","","lentic",1,"0",1,0,6,6,4,"Hyla_suweonensis"
"307","Hylidae","Hyla","Hyla_versicolor","","lentic",1,"0",1,0,6,6,4,"Hyla_versicolor"
"309","Hylidae","Hyloscirtus","Hyloscirtus_armatus","","lotic, suctorial",0,"0",1,1,4,4,2,"Hyloscirtus_armatus"
"310","Hylidae","Hyloscirtus","Hyloscirtus_colymba","","lotic, suctorial",0,"0",1,1,4,4,2,"Hyloscirtus_colymba"
"313","Hylidae","Isthmohyla","Isthmohyla_rivularis","","lotic, suctorial",0,"0",1,1,4,4,2,"Isthmohyla_rivularis"
"314","Hylidae","Isthmohyla","Isthmohyla_tica","","lotic, suctorial",0,"0",1,1,4,4,2,"Isthmohyla_tica"
"315","Hylidae","Isthmohyla","Isthmohyla_zeteki","","lentic, arboreal",1,"0",1,0,6,6,4,"Isthmohyla_zeteki"
"316","Hylidae","Itapotihyla","Itapotihyla_langsdorffii","","lentic",1,"0",1,0,6,6,4,"Itapotihyla_langsdorffii"
"317","Hylidae","Litoria","Litoria_adelaidensis","","lentic, nektonic",1,"0",1,0,6,6,4,"Litoria_adelaidensis"
