sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
145,Bufonidae,Xanthophryne,,,,,,"Lentic, benthic",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
146,Calyptocephalellidae,Calyptocephalella,Calyptocephalella_gayi,KU_162055,,,,"lentic, benthic",1,0,,present,1,very large,KU,1,~37,1,,,,,,,"Wassersug and Heyer, 1988",,,Calyptocephalella_gayi,,,,,,
147,Calyptocephalellidae,Telmatobufo,Telmatobufo_australis,,,,,"lotic, suctorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
148,Centrolenidae,Celsiella,,,,,,"lotic, fossorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
149,Centrolenidae,Centrolene,Centrolene_geckoideum,,,,,"lotic, fossorial",0,1,,absent,0,,,,,,,,,Dias,,,Dias,,,Centrolene_geckoideum,,,,,,
150,Centrolenidae,Centrolene,Centrolene_quindianum,,,Centrolene_altitudinalis,"Part of ""prosoblepon"" group, according to Guayasamin et al 2006. C. altitudinalis is part of that group.","lotic, fossorial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Centrolene_quindianum,,,,,,Centrolene_fernandoi
151,Centrolenidae,Chimerella,Chimerella_mariaelenae,,,,,"lotic, fossorial",0,1,valdez and guayasamin (2014),,,,,,,,,,,,,,,,,Chimerella_mariaelenae,,,,,,
152,Centrolenidae,Cochranella,Cochranella_granulosa,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,,,,"Haas, 2003",,,Cochranella_granulosa,,,,,,
153,Centrolenidae,Espadarana,Espadarana_prosoblepon,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Espadarana_prosoblepon,,,,,,
154,Centrolenidae,Hyalinobatrachium,Hyalinobatrachium_chirripoi,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Hyalinobatrachium_chirripoi,,,,,,
155,Centrolenidae,Hyalinobatrachium,Hyalinobatrachium_fleischmanni,,,,,"lotic, fossorial",0,1,,absent,0,,,,,,,,,Dias,,,Dias,,,Hyalinobatrachium_fleischmanni,,,,,,
156,Centrolenidae,Hyalinobatrachium,Hyalinobatrachium_tricolor,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Hyalinobatrachium_tricolor,,,,,,
157,Centrolenidae,Ikakogi,Ikakogi_ispacue,,,,,"lotic, fossorial",0,1,"Rada et al., 2020",absent,0,none,,,,,,,,,,,"Rada et al., 2020",,,Ikakogi_ispacue,,,,,,
158,Centrolenidae,Ikakogi,Ikakogi_tayrona,,,,,"lotic, fossorial",0,1,"Rada et al., 2019 ",absent,0,none,,,,,,,,,,,"Rada et al., 2019",,,Ikakogi_tayrona,,,,,,
159,Centrolenidae,Nymphargus,Nymphargus_griffithsi,KU_166223,,,,"lotic, fossorial",0,1,,present,1,small and thin,KU,1,~29,1,,,,,,,KU,,,Nymphargus_griffithsi,,,,,,
160,Centrolenidae,Rulyrana,,,,,,"lotic, fossorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
161,Centrolenidae,Sachatamia,,,,,,"lotic, fossorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
162,Centrolenidae,Teratohyla,,,,,,"lotic, fossorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
163,Centrolenidae,Vitreorana,Vitreorana_uranoscopa,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,,,,Brazilian tadpoles,,https://www.instagram.com/p/CLIgeNMJlbY/,Vitreorana_uranoscopa,,,,,,
164,Ceratobatrachidae,Alcalus,Alcalus_rajae,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,Alcalus_rajae,,,,,,Ingerana_rajae
165,Ceratobatrachidae,Cornufer,Cornufer_pelewensis,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,Cornufer_pelewensis,,,,,,Platymantis_pelewensis
166,Ceratobatrachidae,Liurana,Liurana_xizangensis,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,Liurana_xizangensis,,,,,,Ingerana_xizangensis
167,Ceratobatrachidae,Platymantis,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
168,Ceratophryidae,Ceratophrys,Ceratophrys_aurita,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Ceratophrys_aurita,,,,,,Ceratophrys_cranwelli
169,Ceratophryidae,Ceratophrys,Ceratophrys_calcarata,KU_193492,,,,lentic,1,0,,present,1,large,KU,1,,1,,,,,,,KU,,,Ceratophrys_calcarata,,,,,,Ceratophrys_cornuta
170,Ceratophryidae,Ceratophrys,Ceratophrys_ornata,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Ceratophrys_ornata,,,,,,
171,Ceratophryidae,Ceratophrys,,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,dicect,,,0,,,,,,
172,Ceratophryidae,Chacophrys,Chacophrys_pierottii,MCZ_A-153487,,,,"lentic, benthic",1,0,,present,1,"lung, thin",MCZ,1,,,,,,,,,MCZ,,,Chacophrys_pierottii,,,,,,
173,Ceratophryidae,Lepidobatrachus,Lepidobatrachus_laevis,KU_223769,,,,"lentic, carnivore",1,0,,present,1,normal,KU,1,,1,,,,,,,"Haas, 2003; KU",,,Lepidobatrachus_laevis,,,,,,
174,Ceuthomantidae,Ceuthomantis,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
175,Conrauidae,Conraua,Conraua_robusta,,,,,"lotic, suctorial",0,1,"channing et al., 2012",present,1,,,,,,,,,Dias,,,Dias,,,Conraua_robusta,,,,,,
176,Craugastoridae,Craugastor,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
177,Craugastoridae,Haddadus,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
178,Craugastoridae,,Hypodactylus_elassodiscus,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,Hypodactylus_elassodiscus,,,,,,
179,Cycloramphidae,Cycloramphus,Cycloramphus_boraceiensis,,,,,"lotic, semiterrestrial",0,1,,present,1,short,,,,,,,,,,,"Dias et al.,",,,Cycloramphus_boraceiensis,,,,,,
180,Cycloramphidae,Cycloramphus,Cycloramphus_fuliginosus,,,,,"lotic, semiterrestrial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Cycloramphus_fuliginosus,,,,,,
181,Cycloramphidae,Cycloramphus,Cycloramphus_izecksohni,,,,,"lotic, semiterrestrial",0,1,,present,1,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Cycloramphus_izecksohni,,,,,,
182,Cycloramphidae,Cycloramphus,Cycloramphus_stejnegeri,,,,,"terrestrial, endotrophic",2,0,,absent,0,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Cycloramphus_stejnegeri,,,,,,Cycloramphus_eleutherodactylus
183,Cycloramphidae,Thoropa,Thoropa_megatympanum,,,,,"lotic, semiterrestrial",0,1,,present,1,short,,,,,,,,,,,"Dias et al.,",,,Thoropa_megatympanum,,,,,,
184,Cycloramphidae,Thoropa,Thoropa_miliaris,KU_200302 & KU_112393,,,,"lotic, semiterrestrial",0,1,,present,1,short,KU,2,"31, 36",1,,,,,,,KU,,,Thoropa_miliaris,,,,,,
185,Cycloramphidae,Thoropa,Thoropa_petropolitana,KU_112394,,?,Cannot be robustly included - 3+ members sampled,"lotic, semiterrestrial",0,1,,absent,0,buds,KU,1,37,1,,,,,,,"Wassersug and Heyer, 1988",,,Thoropa_petropolitana,,,,,,
186,Cycloramphidae,Thoropa,Thoropa_taophora,,,,,"lotic, semiterrestrial",0,1,,absent,0,buds,,,,,,,,,,,"Dias et al.,",,,Thoropa_taophora,,,,,,
187,Cycloramphidae,Zachaenus,,,,,,endotroph,2,0,,,,,,,,,,,,,,,,,,0,,,,,,
188,Dendrobatidae,Adelphobates,Adelphobates_galactonotus,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Adelphobates_galactonotus,,,,,,
189,Dendrobatidae,Adelphobates,Adelphobates_quinquevittatus,,,,,lentic,1,0,IUCN,present,1,,,,,,,,,Dias,,,dicect,,,Adelphobates_quinquevittatus,,,,,,
190,Dendrobatidae,Allobates,Allobates_grillisimilis,,,,,,,,,present,1,,,,,,,,,Dias,,,Dias,,,Allobates_grillisimilis,,,,,,
191,Dendrobatidae,Allobates,Allobates_insperatus,KU_109314,,,,lentic,1,0,amphibians of ecuador,present,1,normal,KU,1,~36,1,,,,,,,KU,,,Allobates_insperatus,,,,,,
192,Dendrobatidae,Allobates,Allobates_nidicola,,,,,endotroph,2,0,,absent,0,,,,,,,,,Dias,,,Dias,,,Allobates_nidicola,,,,,,
193,Dendrobatidae,Ameerega,Ameerega_trivittata,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Ameerega_trivittata,,,,,,
194,Dendrobatidae,Andinobates,Andinobates_bombetes,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Andinobates_bombetes,,,,,,
195,Dendrobatidae,Anomaloglossus,Anomaloglossus_apiau,,,,,endotroph,2,0,,absent,0,,,,,,,,,,,,,,,Anomaloglossus_apiau,,,,,,Anomaloglossus_baeobatrachus
196,Dendrobatidae,Anomaloglossus,Anomaloglossus_tepuyensis,,,,,lotic,0,0,,present,1,,,,,,,,,Dias,,,Dias,,,Anomaloglossus_tepuyensis,,,,,,Anomaloglossus_surinamensis
197,Dendrobatidae,Aromobates,Aromobates_mayorgai,,,Aromobates_meridensis,Assumed generic monophyly and only 2 members sampled,"lotic, sidepools",0,0,IUCN,present,1,,,,,,,,,Dias,,,,,,,,,,,,
198,Dendrobatidae,Aromobates,Aromobates_saltuensis,,,,,lotic,0,0,IUCN,present,1,,,,,,,,,Dias,,,,,,0,,,,,,
199,Dendrobatidae,Colostethus,Colostethus_dunni,KU_139467,,?,Cannot be robustly included - genus paraphyletic,,,,,present,1,long and thin,KU,1,~27,1,,,,,,,KU,,,Colostethus_dunni,,,,,,
200,Dendrobatidae,Colostethus,Colostethus_imbricolus,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Colostethus_imbricolus,,,,,,
201,Dendrobatidae,Dendrobates,Dendrobates_tinctorius,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Dendrobates_tinctorius,,,,,,
202,Dendrobatidae,Dendrobates,Dendrobates_truncatus,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Dendrobates_truncatus,,,,,,
203,Dendrobatidae,Ectopoglossus,Ectopoglossus_confusus,,,,,lotic,0,0,,,,,,,,,,,,,,,,,,Ectopoglossus_confusus,,,,,,Anomaloglossus_confusus
204,Dendrobatidae,Epipedobates,Epipedobates_boulengeri,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Epipedobates_boulengeri,,,,,,
205,Dendrobatidae,Epipedobates,Epipedobates_tricolor,,,,,lentic,1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Epipedobates_tricolor,,,,,,
206,Dendrobatidae,Excidobates,Excidobates_condor,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Excidobates_condor,,,,,,
207,Dendrobatidae,Hyloxalus,Hyloxalus_subpunctatus,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Hyloxalus_subpunctatus,,,,,,
208,Dendrobatidae,Leucostethus,Leucostethus_fraterdanieli,,,Colostethus_fraterdanieli,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Leucostethus_fraterdanieli,,,,,,Colostethus_fraterdanieli
209,Dendrobatidae,Mannophryne,Mannophryne_herminae,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Mannophryne_herminae,,,,,,
210,Dendrobatidae,Mannophryne,Mannophryne_trinitatis,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Mannophryne_trinitatis,,,,,,
211,Dendrobatidae,Minyobates,Minyobates_steyermarki,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Minyobates_steyermarki,,,,,,
212,Dendrobatidae,Oophaga,Oophaga_pumilio,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Oophaga_pumilio,,,,,,
213,Dendrobatidae,Paruwrobates,Hyloxalus_whymperi,,,Ameerega_erythromos,"Both members of ""Paruwrobates"" sensu Grant et al., 2017",lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Paruwrobates_whymperi,,,,,,
214,Dendrobatidae,Phyllobates,Phyllobates_aurotaenia,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Phyllobates_aurotaenia,,,,,,
215,Dendrobatidae,Phyllobates,Phyllobates_bicolor,,,,,lentic,1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Phyllobates_bicolor,,,,,,
216,Dendrobatidae,Ranitomeya,Ranitomeya_defleri,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Ranitomeya_defleri,,,,,,
217,Dendrobatidae,Rheobates,Rheobates_palmatus,,,,,lotic,0,0,"Luddecke, H. 1999. Behavioral aspects of the reproductive biology of the Andean frog Colostethus palmatus (Amphibia: Dendrobatidae). Revista de la Academia Colombiana de Ciencias Exactas Fisicas y Naturales: 303-316.",present,1,,,,,,,,,Dias,,,Dias,,,Rheobates_palmatus,,,,,,
218,Dendrobatidae,Silverstoneia,Silverstoneia_flotator,,,,,"lotic, neustonic",0,0,"Savage, 2002",present,1,,,,,,,,,Dias,,,Dias,,,Silverstoneia_flotator,,,,,,
219,Dicroglossidae,Allopaa,Allopaa_hazarensis,,,,,"lotic, suctorial",0,1,,,,,,,,,,,,,,,,,,Allopaa_hazarensis,,,,,,
220,Dicroglossidae,Chrysopaa,,,,,,lentic,1,0,,,,,,,,,,,,,,,,,,0,,,,,,
221,Dicroglossidae,Euphlyctis,Euphlyctis_cyanophlyctis,,,,,lentic,1,0,,present,1,,,,,,,,,,,,,,,Euphlyctis_cyanophlyctis,,,,,,
222,Dicroglossidae,Fejervarya,Fejervarya_cancrivora,KU_327840,,,,lentic,1,0,,present,1,normal,KU,1,,1,,,,,,,KU,,,Fejervarya_cancrivora,,,,,,
223,Dicroglossidae,Fejervarya,Fejervarya_limnocharis,,,,,lentic,1,0,,present,1,,,,,,,,,,,,"Kahn, 2004",,,Fejervarya_limnocharis,,,,,,
224,Dicroglossidae,Hoplobatrachus,Hoplobatrachus_occipitalis,,,,,lentic,1,0,Spieler & Linsenmair (1998),present,1,,,,,,,,,Dias,,,,,,Hoplobatrachus occipitalis,,,,,,
225,Dicroglossidae,Hoplobatrachus,Hoplobatrachus_tigerinus,,,,,lentic,1,0,"Kahn, 2004",present,1,,,,,,,,,,,,"Kahn, 2004",,,Hoplobatrachus_tigerinus,,,,,,
226,Dicroglossidae,Ingerana,Ingerana_charlesdarwini,,,,,"lentic, arboreal",1,0,,,,,,,,,,,,,,,,,,Ingerana_charlesdarwini,,,,,,
227,Dicroglossidae,Limnonectes,Limnonectes_kuhlii,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,,,,Limnonectes_kuhlii,,,,,,
228,Dicroglossidae,Limnonectes,Limnonectes_leporinus,,,,,terrestrial nest,2,0,"Emerson, 1992",present,1,,,,,,,,,,,,"Haas, 2003",,,Limnonectes_leporinus,,,,,,
229,Dicroglossidae,Limnonectes,Limnonectes_macrocephalus,KU_326048,,,,lentic,1,0,"McLeod et al., 2011",present,1,normal,KU,1,,1,,,,,,,KU,,,Limnonectes_macrocephalus,,,,,,
230,Dicroglossidae,Limnonectes,Limnonectes_magnus,KU_342090,,,,"lotic, sidepools",0,0,IUCN,present,1,normal,KU,1,,1,,,,,,,KU,,,Limnonectes_magnus,,,,,,
231,Dicroglossidae,Limnonectes,Limnonectes_palavanensis,KU_319076,,,,"lentic, arboreal",1,0,"Goyes Vallejos et al., 2017",present,1,normal,KU,1,,1,,,,,,,KU,,,Limnonectes_palavanensis,,,,,,
232,Dicroglossidae,Limnonectes,Limnonectes_woodworthi,,,,,,,,,,,,,,,,,,,,,,dicect,,,Limnonectes_woodworthi,,,,,,
233,Dicroglossidae,Minervarya,Minervarya_syhadrensis,,,,,lentic,1,0,"Kahn, 1991",present,1,normal,,,,,,,,,,,"Kahn, 1991",,,Minervarya_syhadrensis,,,,,,Fejervarya_syhadrensis
234,Dicroglossidae,Nannophrys,,,,,,"lotic, semiterrestrial",0,1,"Wickramasinghe et al.,",,,,,,,,,,,,,,,,,0,,,,,,
235,Dicroglossidae,Nanorana,,,,,,lotic,0,0,,,,,,,,,,,,,,,,,,0,,,,,,
236,Dicroglossidae,Occidozyga,Occidozyga_laevis,KU_330717,,Occidozyga_lima,Cannot be robustly included - genus paraphyletic,lentic,1,0,,present,1,normal,KU,1,,1,,,,,,,KU,,,Occidozyga_laevis,,,,,,
237,Dicroglossidae,Ombrana,,,,,,lotic,0,0,,,,,,,,,,,,,,,,,,0,,,,,,
238,Dicroglossidae,Quasipaa,Quasipaa_exilispinosa,,,,,lotic,0,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Quasipaa_exilispinosa,,,,,,
239,Dicroglossidae,Sphaerotheca,Sphaerotheca_breviceps,KU_193570,,,,lentic,1,0,,present,1,normal,KU,1,~37,1,,,,,,,KU,,,Sphaerotheca_breviceps,,,,,,
240,Eleutherodactylidae,Adelophryne,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
241,Eleutherodactylidae,Diasporus,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
242,Eleutherodactylidae,Eleutherodactylus,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
243,Eleutherodactylidae,Phyzelaphryne,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
244,Heleophrynidae,Hadromophryne,Hadromophryne_natalensis,KU_196020,,,,"lotic, suctorial",0,1,,present,1,small and thin,"Phillips et al., 2023",3,"~25, 33",1,6,,,,JRP,,"Phillips et al., 2023",,,Hadromophryne_natalensis,,,,,,
245,Heleophrynidae,Heleophryne,Heleophryne_hewitti,,,?,Cannot be robustly included,"lotic, suctorial",0,1,,absent,0,,"Phillips et al., 2023",2,38-41,,,,,,,,"Phillips et al., 2023",,,Heleophryne_hewitti,,,,,,
246,Heleophrynidae,Heleophryne,Heleophryne_purcelli,KU_196021,,,,"lotic, suctorial",0,1,,absent,0,buds,"Phillips et al., 2023",3,"26, ~33",1,,,,,,,"Phillips et al., 2023",,,Heleophryne_purcelli,,,,,,
247,Heleophrynidae,Heleophryne,Heleophryne_regis,,,,,"lotic, suctorial",0,1,,absent,0,,"Phillips et al., 2023",1,39,,2,,,,,,"Phillips et al., 2023",,,Heleophryne_regis,,,,,,
248,Heleophrynidae,Heleophryne,Heleophryne_rosei,,,?,Cannot be robustly included,"lotic, suctorial",0,1,,absent,0,,,,,,,,,,,,"Noble, 1929",,,Heleophryne_rosei,,,,,,
249,Hemiphractidae,Cryptobatrachus,,,,,,endotroph,2,0,,,,,,,,,,,,,,,,,,0,,,,,,
250,Hemiphractidae,Flectonotus,Flectonotus_fitzgeraldi,,,,,"lentic, arboreal",1,0,,,,,,,,,,,,,,,dicect,,,Flectonotus_fitzgeraldi,,,,,,
251,Hemiphractidae,Flectonotus,Flectonotus_sp.,,,Flectonotus_pygmaeus,assumed generic monophyly and only 1 member represented,"lentic, arboreal",1,0,,present,1,,,,,,,,,,,,"Wassersug and Duellman, 1984",,,Flectonotus_sp.,,,,,,Flectonotus_pygmaeus
252,Hemiphractidae,Fritziana,Fritziana_sp.,,,Fritziana_fissilis,assumed generic monophyly and only 1 member represented,"lentic, arboreal",1,0,,present,1,,,,,,,,,,,,"Wassersug and Duellman, 1984",,,Fritziana_sp.,,,,,,Fritziana_fissilis
253,Hemiphractidae,Gastrotheca,Gastrotheca_fissipes,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,Gastrotheca_fissipes,,,,,,
254,Hemiphractidae,Gastrotheca,Gastrotheca_monticola,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,,,,"Wassersug and Duellman, 1984",,,Gastrotheca_monticola,,,,,,
255,Hemiphractidae,Gastrotheca,Gastrotheca_riobambae,,,,,lentic,1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Gastrotheca_riobambae,,,,,,
256,Hemiphractidae,Gastrotheca,Gastrotheca_walkeri,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,Gastrotheca_walkeri,,,,,,
257,Hemiphractidae,Hemiphractus,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
258,Hemiphractidae,Stefania,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
259,Hemisotidae,Hemisus,Hemisus_guttatus,KU_196024,,,,"lentic, nektonic",1,0,,present,1,very large,KU,1,~36,1,,,,,,,KU,,,Hemisus_guttatus,,,,,,
260,Hemisotidae,Hemisus,Hemisus_marmoratus,,,,,"lentic, nektonic",1,0,,present,1,,PHYSIO,,,,2,,,,JRP,,PHYSIO,,,Hemisus_marmoratus,,,,,,
261,Hylidae,Acris,Acris_crepitans,KU_158079,,,,"lentic, benthic",1,0,,present,1,large,KU,1,~29,1,,,,,,,KU,,,Acris_crepitans,,,,,,
262,Hylidae,Agalychnis,Agalychnis_callidryas,,,,,"lentic, nektonic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Agalychnis_callidryas,,,,,,
263,Hylidae,Agalychnis,Agalychnis_moreletii,KU_289964,,,,"lentic, nektonic",1,0,,present,1,large,KU,1,,2,,,,,,,KU,,,Agalychnis_moreletii,,,,,,
264,Hylidae,Anotheca,Triprion_spinosus,KU_60016,,,,"lentic, arboreal",1,0,,present,1,normal,KU,1,,2,,,,,,,KU,,,Anotheca_spinosa,,,,,,
265,Hylidae,Aparasphenodon,Aparasphenodon_brunoi,KU_211298,,,,lentic,1,0,amphibiaweb,present,1,long and thin,KU,1,~27,1,,,,,,,KU,,,Aparasphenodon_brunoi,,,,,,
266,Hylidae,Aplastodiscus,Aplastodiscus_perviridis,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Aplastodiscus_perviridis,,,,,,
267,Hylidae,Argenteohyla,,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
268,Hylidae,Atlantihyla,Atlantihyla_spinipollex,,,,,lotic,0,0,IUCN,,?,,,,,,,,,,,,,,,,,,,,,
269,Hylidae,Boana,Boana_boans,AMNH_84724,,,,lotic,0,0,amphibians of ecuador,,?,,AMNH,,,,,,,,,,,,,,,,,,,Hypsiboas_boans
270,Hylidae,Boana,Boana_cordobae,,,,,lotic,0,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Boana_cordobae,,,,,,Hypsiboas_cordobae
271,Hylidae,Boana,Boana_geographica,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2004",,,Boana_geographicus,,,,,,Hypsiboas_geographicus
272,Hylidae,Boana,Boana_heilprini,,,,,lotic,0,0,,present,1,,,,,,,,,,,,"Noble, 1929",,,Boana_heilprini,,,,,,Hypsiboas_heilprini
273,Hylidae,Bokermannohyla,Bokermannohyla_claresignata,,,,,lotic,0,0,Wassersug and Heyer (1983),present,1,small,,,,,,,,,,,"Wassersug and Heyer, 1983",,,Bokermannohyla_claresignata,,,,,,Bokermannohyla_hylax
274,Hylidae,Bromeliohyla,Bromeliohyla_bromeliacia,KU_194180,,,,"lentic, arboreal",1,0,,present,1,large,KU,1,~36,1,,,,,,,KU,,,Bromeliohyla_bromeliacia,,,,,,
275,Hylidae,Bromeliohyla,Bromeliohyla_dendroscarta,,,Bromeliohyla_melacaena,"Assumed generic monophyly, only 2 sampled.","lentic, arboreal",1,0,"Márquez, L. C., López, J. L. A., Manzano, R. L., Mayén, G. G., & Benitez, D. H. (2018). Rediscovery of two threatened species of treefrogs (Anura: Hylidae) from Southern Mexico. Herpetology Notes, 11, 23-29.",present,1,,,,,,,,,,,,"photo in Márquez, L. C., López, J. L. A., Manzano, R. L., Mayén, G. G., & Benitez, D. H. (2018). Rediscovery of two threatened species of treefrogs (Anura: Hylidae) from Southern Mexico. Herpetology Notes, 11, 23-29.",,,,,,,,,
276,Hylidae,Charadrahyla,Charadrahyla_altipotens,KU_139682-5,,Charadrahyla_taeniopus,assumed generic monophyly and only 1 member represented,lotic,0,0,,present,1,small,KU,1,,2,,,,,,,KU,,,Charadrahyla_altipotens,,,,,,Charadrahyla_taeniopus
277,Hylidae,Corythomantis,,,,,,"lotic, suctorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
278,Hylidae,Cruziohyla,Cruziohyla_craspedopus,,,,,lentic,1,0,"Hoogmoed, MS and Cadle, JE 1991. Natural history and distribution of Agalychnis craspedopus (Funkhouser, 1957) (Amphibia: Anura, Hylidae). Zoologischer Mededelinger 65:129-142.",,?,,,,,,,,,,,,,,,,,,,,,
279,Hylidae,Cruziohyla,Cruziohyla_sylviae,,,,,"lentic, nektonic",1,0,pers. Obvs,present,1,,,,,,,,,,JRP,,pers obvs breathing,,,Cruziohyla_sylviae,,,,,,Cruziohyla_calcarifer
280,Hylidae,Cyclorana,Cyclorana_australis,KU_180054,,,,lentic,1,0,IUCN,present,1,normal,KU,1,~31,1,,,,,,,KU,,,Ranoidea_australis,3 weeks,2 weeks,Anstis,,,Cyclorana_australis
281,Hylidae,Cyclorana,Cyclorana_longipes,KU_223474,,,,"lentic, benthic",1,0,Anstis,present,1,small,KU,1,,2,,,,,,,KU,,,Cyclorana_longipes,,,,,,
282,Hylidae,Dendropsophus,Dendropsophus_ebraccatus,,,,,lentic,1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Dendropsophus_ebraccatus,,,,,,
283,Hylidae,Dendropsophus,Dendropsophus_labialis,,,,,"lentic, arboreal",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Dendropsophus_labialis,,,,,,
284,Hylidae,Dendropsophus,Dendropsophus_marmoratus,,,,,lentic,1,0,amphibians of ecuador,present,1,,,,,,,,,,,,photograph,,https://www.flickr.com/photos/johnclare/14655263217,Dendropsophus_marmoratus,,,,,,
285,Hylidae,Diaglena,,,,,,lentic,1,0,,,,,,,,,,,,,,,,,,0,,,,,,
286,Hylidae,Dryaderces,,,,,,lentic,1,0,Karl-Heinz Jungfer dissertation,,,,,,,,,,,,,,,,,0,,,,,,
287,Hylidae,Duellmanohyla,Duellmanohyla_ignicolor,KU_139891,,?,Cannot be robustly included,lotic,0,0,"Duellman, 1963",present,1,long and thin,KU,1,~33,1,,,,,,,KU,,,Duellmanohyla_ignicolor,,,,,,
288,Hylidae,Duellmanohyla,Duellmanohyla_rufioculis,KU_MISSING,,,,lotic,0,0,"Duellman, W.E. (1970)",present,1,,KU,1,,1,,,,,,,KU,,,Duellmanohyla_rufioculis,,,,,,
289,Hylidae,Duellmanohyla,Duellmanohyla_salvavida,KU_211261,,,,lotic,0,0,amphibiaweb,present,1,short and fat,KU,1,~37,1,,,,,,,KU,,,Duellmanohyla_salvavida,,,,,,
